time,logger,level,message,exception
2012-07-03 10:40:01.3585,Raven.Database.Server.HttpServer,Debug,Request #   9: GET     -     1 ms - <default>  - 200 - /docs/Raven/Databases/SomeDB,
2012-07-03 10:40:05.9482,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'Raven/Hilo/UserModels' was found,
2012-07-03 10:40:05.9482,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'Raven/ServerPrefixForHilo' was not found,
2012-07-03 10:40:05.9482,Raven.Database.Server.HttpServer,Debug,Request #  10: GET     -     0 ms - SomeDB     - 200 - /queries/?&id=Raven/Hilo/UserModels&id=Raven/ServerPrefixForHilo,
2012-07-03 10:40:05.9732,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'Raven/Hilo/UserModels', update: True, ",
2012-07-03 10:40:05.9732,Raven.Database.Indexing.WorkContext,Debug,Incremented work counter to 5 because: PUT Raven/Hilo/UserModels,
2012-07-03 10:40:05.9732,Raven.Database.DocumentDatabase,Debug,Put document Raven/Hilo/UserModels with etag 00000000-0000-0500-0000-000000000003,
2012-07-03 10:40:05.9732,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,Found a total of 1 documents that requires indexing since etag: 00000000-0000-0500-0000-000000000002,
2012-07-03 10:40:05.9732,Raven.Database.Indexing.WorkContext,Debug,"No work was found, workerWorkCounter: 5, for: ReducingExecuter, will wait for additional work",
2012-07-03 10:40:05.9732,Raven.Database.Impl.DocumentRetriever,Debug,Triggered Raven.Database.Plugins.Builtins.FilterRavenInternalDocumentsReadTrigger asked us to ignore Raven/Hilo/UserModels,
2012-07-03 10:40:05.9732,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,"After read triggers executed, 0 documents remained",
2012-07-03 10:40:05.9732,Raven.Database.Server.HttpServer,Debug,Request #  11: PUT     -     4 ms - SomeDB     - 201 - /docs/Raven/Hilo/UserModels,
2012-07-03 10:40:05.9732,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,"All documents have been filtered for Temp/UserModels, no indexing will be performed, updating to 00000000-0000-0500-0000-000000000003, 03/07/2012 5:40:05 PM",
2012-07-03 10:40:05.9732,Raven.Database.Indexing.WorkContext,Debug,Incremented work counter to 6 because: WORK BY IndexingExecuter,
2012-07-03 10:40:05.9732,Raven.Database.Indexing.WorkContext,Debug,"No work was found, workerWorkCounter: 6, for: ReducingExecuter, will wait for additional work",
2012-07-03 10:40:05.9732,Raven.Database.Indexing.WorkContext,Debug,"No work was found, workerWorkCounter: 6, for: IndexingExecuter, will wait for additional work",
2012-07-03 10:40:06.0522,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'UserModels/161', update: False, ",
2012-07-03 10:40:06.0522,Raven.Database.DocumentDatabase,Debug,Put document UserModels/161 with etag 00000000-0000-0500-0000-000000000004,
2012-07-03 10:40:06.0522,Raven.Database.Indexing.WorkContext,Debug,Incremented work counter to 7 because: PUT UserModels/161,
2012-07-03 10:40:06.0522,Raven.Database.DocumentDatabase,Debug,Successfully executed 1 commands in 00:00:00.0040061,
2012-07-03 10:40:06.0522,Raven.Database.Indexing.WorkContext,Debug,"No work was found, workerWorkCounter: 7, for: ReducingExecuter, will wait for additional work",
2012-07-03 10:40:06.0522,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,Found a total of 1 documents that requires indexing since etag: 00000000-0000-0500-0000-000000000003,
2012-07-03 10:40:06.0522,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,"After read triggers executed, 1 documents remained",
2012-07-03 10:40:06.0522,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,"Going to index 1 documents in IndexName: Temp/UserModels, LastIndexedEtag: 00000000-0000-0500-0000-000000000003",
2012-07-03 10:40:06.0522,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,Indexing 1 documents for index: Temp/UserModels. (UserModels/161),
2012-07-03 10:40:06.0522,Raven.Database.Server.HttpServer,Debug,Request #  12: POST    -     5 ms - SomeDB     - 200 - /bulk_docs,
2012-07-03 10:40:06.0522,Raven.Database.Indexing.Index.Indexing,Debug,"Indexing on UserModels/161 result in index Temp/UserModels gave document: 	__document_id IS: usermodels/161
",
2012-07-03 10:40:06.0522,Raven.Database.Indexing.Index.Indexing,Debug,Indexed 3 documents for Temp/UserModels,
2012-07-03 10:40:06.0522,Raven.Database.Server.HttpServer,Debug,"	PUT UserModels/161
",
2012-07-03 10:40:06.0522,Raven.Database.Indexing.WorkContext,Debug,Incremented work counter to 8 because: WORK BY IndexingExecuter,
2012-07-03 10:40:06.0522,Raven.Database.Indexing.WorkContext,Debug,"No work was found, workerWorkCounter: 8, for: ReducingExecuter, will wait for additional work",
2012-07-03 10:40:06.0522,Raven.Database.Indexing.WorkContext,Debug,"No work was found, workerWorkCounter: 8, for: IndexingExecuter, will wait for additional work",
2012-07-03 10:40:06.1191,Raven.Database.Indexing.Index.Querying,Debug,Issuing query on index Temp/UserModels for all documents,
2012-07-03 10:40:06.1191,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'usermodels/1' was found,
2012-07-03 10:40:06.1191,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'usermodels/2' was found,
2012-07-03 10:40:06.1191,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'usermodels/3' was found,
2012-07-03 10:40:06.1191,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'usermodels/33' was found,
2012-07-03 10:40:06.1191,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'usermodels/34' was found,
2012-07-03 10:40:06.1191,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'usermodels/65' was found,
2012-07-03 10:40:06.1191,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'usermodels/66' was found,
2012-07-03 10:40:06.1191,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'usermodels/97' was found,
2012-07-03 10:40:06.1191,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'usermodels/129' was found,
2012-07-03 10:40:06.1191,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'usermodels/161' was found,
2012-07-03 10:40:06.1551,Raven.Database.Server.HttpServer,Debug,Request #  13: GET     -    37 ms - SomeDB     - 200 - /indexes/dynamic/UserModels?query=&start=0&pageSize=128&aggregation=None,
2012-07-03 10:40:06.1551,Raven.Database.Server.HttpServer,Debug,"	Query: 
	Time: 1 ms
	Index: Temp/UserModels
	Results: 10 returned out of 10 total.
",
2012-07-03 10:40:58.4161,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'Raven/Replication/Destinations' was not found,
2012-07-03 10:40:58.4161,Raven.Database.Server.HttpServer,Debug,Request #  14: GET     -     0 ms - SomeDB     - 404 - /docs/Raven/Replication/Destinations,
2012-07-03 10:40:58.5690,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'Raven/Databases/SomeDB' was found,
2012-07-03 10:40:58.5690,Raven.Database.Server.HttpServer,Debug,Request #  15: GET     -     2 ms - <default>  - 200 - /docs/Raven/Databases/SomeDB,
2012-07-03 10:41:03.7474,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'Raven/Hilo/UserModels' was found,
2012-07-03 10:41:03.7474,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'Raven/ServerPrefixForHilo' was not found,
2012-07-03 10:41:03.7474,Raven.Database.Server.HttpServer,Debug,Request #  16: GET     -     0 ms - SomeDB     - 200 - /queries/?&id=Raven/Hilo/UserModels&id=Raven/ServerPrefixForHilo,
2012-07-03 10:41:03.7764,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'Raven/Hilo/UserModels', update: True, ",
2012-07-03 10:41:03.7764,Raven.Database.Indexing.WorkContext,Debug,Incremented work counter to 9 because: PUT Raven/Hilo/UserModels,
2012-07-03 10:41:03.7764,Raven.Database.DocumentDatabase,Debug,Put document Raven/Hilo/UserModels with etag 00000000-0000-0500-0000-000000000005,
2012-07-03 10:41:03.7764,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,Found a total of 1 documents that requires indexing since etag: 00000000-0000-0500-0000-000000000004,
2012-07-03 10:41:03.7764,Raven.Database.Impl.DocumentRetriever,Debug,Triggered Raven.Database.Plugins.Builtins.FilterRavenInternalDocumentsReadTrigger asked us to ignore Raven/Hilo/UserModels,
2012-07-03 10:41:03.7764,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,"After read triggers executed, 0 documents remained",
2012-07-03 10:41:03.7764,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,"All documents have been filtered for Temp/UserModels, no indexing will be performed, updating to 00000000-0000-0500-0000-000000000005, 03/07/2012 5:41:03 PM",
2012-07-03 10:41:03.7764,Raven.Database.Indexing.WorkContext,Debug,"No work was found, workerWorkCounter: 9, for: ReducingExecuter, will wait for additional work",
